RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
293,Cristian Jiménez,mx MEX,CC,Cruz Azul,20,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Partidos
294,Jaiber Jiménez,mx MEX,DF,Cruz Azul,27,1995,3,3,268,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,6,7,6,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
295,Oscar Jiménez,mx MEX,PO,América,33,1988,11,11,990,11.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
296,Miguel Jiménez Ponce,mx MEX,PO,Guadalajara,32,1990,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
297,José Joaquín Esquivel,mx MEX,CC,Necaxa,24,1998,33,30,2605,28.9,0,0,0,0,0,0,11,0,0.3,0.3,0.6,0.9,10,120,18,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
298,José Joaquín Martínez,mx MEX,"DF,CC",Cruz Azul,35,1987,11,6,467,5.2,0,0,0,0,0,0,3,0,0.2,0.2,0.7,0.9,8,20,13,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.18,0.03,0.18,Partidos
299,Julio José González,mx MEX,PO,UNAM,31,1991,20,20,1800,20.0,1,0,1,1,0,0,2,0,0.1,0.1,0.3,0.4,0,0,0,0.05,0.00,0.05,0.05,0.05,0.01,0.02,0.02,0.01,0.02,Partidos
300,Alberto Joshimar Acosta,mx MEX,DF,FC Juárez,34,1988,14,12,913,10.1,0,0,0,0,0,0,5,2,0.1,0.1,0.1,0.2,17,61,22,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
301,Joao Joshimar Rojas,ec ECU,"CC,DL",Monterrey,24,1997,6,0,103,1.1,0,2,2,0,0,1,0,0,0.8,0.0,1.0,1.1,12,6,16,0.00,1.75,1.75,0.00,1.75,0.72,0.90,1.62,0.03,0.93,Partidos
302,José Juan Vázquez,mx MEX,CC,Tijuana,34,1988,25,20,1642,18.2,0,0,0,0,0,0,3,0,0.3,0.3,0.3,0.6,8,74,24,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.03,0.02,0.03,Partidos
303,Ramón Juárez,mx MEX,DF,Atlético,21,2001,10,8,723,8.0,0,0,0,0,0,0,2,0,0.6,0.6,0.0,0.6,0,4,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Partidos
304,Heriberto Jurado,mx MEX,"CC,DL",Necaxa,17,2005,23,6,754,8.4,0,1,1,0,0,0,1,1,0.7,0.7,1.5,2.2,22,10,56,0.00,0.12,0.12,0.00,0.12,0.08,0.18,0.27,0.08,0.27,Partidos
305,Sebastián Jurado,mx MEX,PO,Cruz Azul,24,1997,11,11,989,11.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
306,Mateo Klimowicz,de GER,"CC,DL",Atlético,22,2000,14,7,651,7.2,1,1,2,1,0,0,0,0,1.3,1.3,1.2,2.5,25,32,25,0.14,0.14,0.28,0.14,0.28,0.18,0.17,0.35,0.18,0.35,Partidos
307,Matías Kranevitter,ar ARG,CC,Monterrey,29,1993,15,8,737,8.2,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,8,38,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
308,Roberto de la Rosa,mx MEX,DL,Pachuca,22,2000,27,20,1541,17.1,3,2,5,2,1,1,0,0,6.4,5.6,1.2,6.8,23,27,122,0.18,0.12,0.29,0.12,0.23,0.37,0.07,0.44,0.33,0.40,Partidos
309,Diego Lainez,mx MEX,"DL,CC",UANL,22,2000,12,4,431,4.8,0,0,0,0,0,0,3,0,0.7,0.7,0.3,1.0,25,18,36,0.00,0.00,0.00,0.00,0.00,0.15,0.05,0.21,0.15,0.21,Partidos
310,Mauro Laínez,mx MEX,"DL,CC",FC Juárez,26,1996,26,3,676,7.5,1,1,2,1,0,0,4,0,0.5,0.5,0.6,1.0,36,24,62,0.13,0.13,0.27,0.13,0.27,0.06,0.08,0.14,0.06,0.14,Partidos
311,Gibran Lajud,mx MEX,PO,Santos,28,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
312,Emilio Lara,mx MEX,DF,América,20,2002,24,21,1872,20.8,1,4,5,1,0,0,2,0,0.6,0.6,1.3,1.9,30,53,86,0.05,0.19,0.24,0.05,0.24,0.03,0.06,0.09,0.03,0.09,Partidos
313,Israel Larios,mx MEX,CC,Atlas,19,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
314,Miguel Layún,mx MEX,DF,América,34,1988,22,15,1486,16.5,0,6,6,0,0,0,3,0,0.6,0.6,3.4,4.0,22,55,126,0.00,0.36,0.36,0.00,0.36,0.03,0.20,0.24,0.03,0.24,Partidos
315,Federico Lértora,ar ARG,CC,Tijuana,32,1990,30,30,2651,29.5,2,0,2,2,0,0,9,1,2.6,2.6,1.4,4.0,23,122,35,0.07,0.00,0.07,0.07,0.07,0.09,0.05,0.14,0.09,0.14,Partidos
316,Dario Lezcano,py PAR,"DL,CC",FC Juárez,32,1990,14,4,433,4.8,4,0,4,4,0,0,1,0,1.4,1.4,0.1,1.5,3,6,30,0.83,0.00,0.83,0.83,0.83,0.28,0.03,0.31,0.28,0.31,Partidos
317,Igor Lichnovsky,cl CHI,DF,UANL,28,1994,27,25,2222,24.7,0,0,0,0,0,0,10,1,0.9,0.9,0.5,1.4,20,84,4,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.05,0.04,0.05,Partidos
318,Erik Lira,mx MEX,CC,Cruz Azul,22,2000,32,30,2543,28.3,0,1,1,0,0,0,5,0,0.6,0.6,0.6,1.2,11,130,24,0.00,0.04,0.04,0.00,0.04,0.02,0.02,0.04,0.02,0.04,Partidos
319,Aldo Llanas,,CC,Toluca,,,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
320,Aldo López,mx MEX,CC,Santos,22,2000,25,12,1260,14.0,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,4,54,18,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
321,Gabriel López,mx MEX,"DL,CC",Mazatlán,19,2003,2,0,24,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,2,1,3.75,0.00,3.75,3.75,3.75,0.25,0.00,0.25,0.25,0.25,Partidos
322,Raúl López Gómez,mx MEX,DF,Santos,29,1993,13,13,959,10.7,0,1,1,0,0,0,0,0,0.5,0.5,1.1,1.6,20,35,42,0.00,0.09,0.09,0.00,0.09,0.05,0.10,0.15,0.05,0.15,Partidos
323,Raúl López Gómez,mx MEX,DF,Toluca,29,1993,10,7,566,6.3,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,8,15,22,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.11,0.02,0.11,Partidos
324,Leonel López,mx MEX,CC,Tijuana,28,1994,11,6,535,5.9,0,0,0,0,0,0,1,0,0.6,0.6,0.8,1.4,10,44,11,0.00,0.00,0.00,0.00,0.00,0.11,0.13,0.24,0.11,0.24,Partidos
325,Leonel López,mx MEX,CC,UNAM,28,1994,14,11,844,9.4,0,4,4,0,0,0,6,0,0.4,0.4,1.5,1.9,17,82,25,0.00,0.43,0.43,0.00,0.43,0.04,0.16,0.20,0.04,0.20,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
326,Lisandro López,ar ARG,DF,Tijuana,32,1989,27,26,2223,24.7,4,0,4,2,2,3,6,0,3.5,1.1,0.6,1.7,22,103,5,0.16,0.00,0.16,0.08,0.08,0.14,0.02,0.16,0.04,0.07,Partidos
327,Nicolás López,uy URU,"DL,CC",UANL,28,1993,20,7,646,7.2,2,3,5,1,1,1,4,0,2.5,1.7,2.1,3.9,15,38,57,0.28,0.42,0.70,0.14,0.56,0.35,0.30,0.65,0.24,0.54,Partidos
328,Rodrigo López,mx MEX,CC,Querétaro,34,1987,28,17,1403,15.6,2,0,2,2,0,0,6,0,1.5,1.5,1.1,2.7,24,71,61,0.13,0.00,0.13,0.13,0.13,0.10,0.07,0.17,0.10,0.17,Partidos
329,Vladimir Loroña,mx MEX,"DF,CC",UANL,23,1998,11,8,612,6.8,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.8,12,21,29,0.00,0.15,0.15,0.00,0.15,0.00,0.11,0.11,0.00,0.11,Partidos
330,Augusto Lotti,it ITA,"DL,CC",Cruz Azul,26,1996,15,5,564,6.3,3,2,5,3,0,0,1,0,2.9,2.9,0.9,3.9,6,5,41,0.48,0.32,0.80,0.48,0.80,0.47,0.15,0.62,0.47,0.62,Partidos
331,Brian Lozano,uy URU,"CC,DF",Santos,28,1994,2,1,109,1.2,1,1,2,0,1,1,0,0,0.9,0.1,0.7,0.9,5,2,3,0.83,0.83,1.65,0.00,0.83,0.75,0.61,1.36,0.10,0.71,Partidos
332,Brian Lozano,uy URU,CC,Atlas,28,1994,16,12,1061,11.8,6,0,6,6,0,0,5,1,1.6,1.6,1.2,2.8,45,73,71,0.51,0.00,0.51,0.51,0.51,0.13,0.10,0.24,0.13,0.24,Partidos
333,Esteban Lozano,mx MEX,CC,América,19,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36,Partidos
334,José Lozano,mx MEX,"CC,DF",Santos,23,1998,12,1,251,2.8,1,0,1,1,0,0,0,0,0.7,0.7,0.0,0.7,4,10,21,0.36,0.00,0.36,0.36,0.36,0.26,0.01,0.27,0.26,0.27,Partidos
335,Lucao,br BRA,DF,Puebla,29,1993,23,16,1474,16.4,1,1,2,1,0,0,6,0,0.8,0.8,0.6,1.4,8,44,12,0.06,0.06,0.12,0.06,0.12,0.05,0.04,0.09,0.05,0.09,Partidos
336,Israel Luna,mx MEX,"CC,DL",Pachuca,20,2002,25,7,819,9.1,3,0,3,3,0,0,3,0,1.4,1.4,0.6,1.9,19,31,40,0.33,0.00,0.33,0.33,0.33,0.15,0.06,0.21,0.15,0.21,Partidos
337,Darwin Machís,ve VEN,"DL,CC",FC Juárez,29,1993,10,7,510,5.7,1,0,1,0,1,1,1,0,1.3,0.5,0.3,0.9,8,22,39,0.18,0.00,0.18,0.00,0.00,0.23,0.06,0.29,0.09,0.15,Partidos
338,Fernando Madrigal,mx MEX,CC,Necaxa,30,1991,33,23,2160,24.0,1,1,2,1,0,0,4,0,2.7,2.7,2.3,5.1,39,102,72,0.04,0.04,0.08,0.04,0.08,0.11,0.10,0.21,0.11,0.21,Partidos
339,José Madueña,mx MEX,"DF,CC",Querétaro,32,1990,9,4,438,4.9,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,12,17,12,0.00,0.21,0.21,0.00,0.21,0.03,0.04,0.06,0.03,0.06,Partidos
340,Joshua Mancha,mx MEX,"DL,DF",Santos,17,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
341,Federico Mancuello,ar ARG,CC,Puebla,33,1989,34,34,2880,32.0,5,8,13,5,0,0,5,0,4.1,4.1,5.7,9.8,55,201,83,0.16,0.25,0.41,0.16,0.41,0.13,0.18,0.31,0.13,0.31,Partidos
342,Mauro Manotas,co COL,"DL,CC",Atlas,27,1995,5,0,97,1.1,0,0,0,0,0,0,0,0,0.5,0.5,0.7,1.2,3,0,8,0.00,0.00,0.00,0.00,0.00,0.44,0.65,1.09,0.44,1.09,Partidos
343,Óscar Manzanarez,mx MEX,DF,Santos,27,1995,6,4,421,4.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1,18,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
344,Javier Marcelo Correa,ar ARG,"DL,CC",Santos,29,1992,32,19,1885,20.9,12,1,13,11,1,1,7,1,11.0,10.2,1.9,12.1,39,52,111,0.57,0.05,0.62,0.53,0.57,0.53,0.09,0.61,0.49,0.58,Partidos
345,Jahaziel Marchand,mx MEX,CC,Pachuca,20,2001,3,1,48,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
346,Salvador Mariscal,mx MEX,CC,Santos,19,2003,11,5,549,6.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,1,16,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
347,Ángel Márquez,mx MEX,CC,Atlas,22,2000,30,18,1640,18.2,1,3,4,1,0,0,2,0,1.4,1.4,3.1,4.4,23,85,57,0.05,0.16,0.22,0.05,0.22,0.08,0.17,0.24,0.08,0.24,Partidos
348,Henry Martín,mx MEX,DL,América,29,1992,34,29,2548,28.3,24,10,34,19,5,6,2,0,17.4,12.7,6.0,18.7,23,55,176,0.85,0.35,1.20,0.67,1.02,0.62,0.21,0.83,0.45,0.66,Partidos
349,Alejandro Martínez,ar ARG,"DF,DL",Tijuana,25,1997,14,8,781,8.7,1,1,2,1,0,0,1,0,0.7,0.7,1.2,2.0,40,37,84,0.12,0.12,0.23,0.12,0.23,0.08,0.14,0.23,0.08,0.23,Partidos
350,Guillermo Martínez Ayala,mx MEX,"DL,CC",Puebla,27,1995,18,5,573,6.4,6,2,8,5,1,1,3,1,3.7,2.9,0.6,3.5,1,8,20,0.94,0.31,1.26,0.79,1.10,0.58,0.09,0.67,0.46,0.55,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
351,Enzo Martínez,uy URU,DF,Pachuca,24,1998,5,5,433,4.8,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,3,21,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
352,Enzo Martínez,uy URU,DF,Querétaro,24,1998,7,7,556,6.2,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.3,4,23,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.04,0.04,Partidos
353,Federico Martínez,uy URU,"DL,CC",León,26,1996,10,7,493,5.5,2,0,2,2,0,0,0,0,0.3,0.3,0.6,0.9,11,11,25,0.37,0.00,0.37,0.37,0.37,0.06,0.12,0.17,0.06,0.17,Partidos
354,Emilio Martínez González,mx MEX,DF,Puebla,19,2003,17,14,1054,11.7,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.3,7,20,23,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
355,Jaziel Martínez,mx MEX,CC,Atlas,21,2000,13,6,538,6.0,0,1,1,0,0,0,1,0,0.2,0.2,0.5,0.7,6,40,13,0.00,0.17,0.17,0.00,0.17,0.04,0.09,0.12,0.04,0.12,Partidos
356,Jaziel Martínez,mx MEX,"CC,DL",Monterrey,21,2000,2,0,7,0.1,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,12.86,0.00,12.86,12.86,12.86,1.40,0.00,1.40,1.40,1.40,Partidos
357,Juan Martínez,mx MEX,DF,Atlético,23,1999,3,2,115,1.3,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
358,Roger Martínez,co COL,"DL,CC",América,28,1994,15,3,395,4.4,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,26,31,42,0.68,0.00,0.68,0.68,0.68,0.28,0.08,0.36,0.28,0.36,Partidos
359,Román Martínez,mx MEX,"DL,CC",América,19,2002,3,1,102,1.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,2,1,9,0.00,0.00,0.00,0.00,0.00,0.16,0.12,0.27,0.16,0.27,Partidos
360,Sebastián Martínez,mx MEX,CC,América,19,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
361,Alejandro Mayorga,mx MEX,DF,Cruz Azul,25,1997,5,5,430,4.8,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,3,14,9,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Partidos
362,Alejandro Mayorga,mx MEX,DF,Guadalajara,25,1997,9,4,355,3.9,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,16,23,13,0.25,0.00,0.25,0.25,0.25,0.09,0.02,0.11,0.09,0.11,Partidos
363,Alan Medina,mx MEX,"CC,DL",FC Juárez,24,1997,29,22,1852,20.6,6,2,8,6,0,0,2,0,3.8,3.8,1.4,5.2,88,84,152,0.29,0.10,0.39,0.29,0.39,0.19,0.07,0.25,0.19,0.25,Partidos
364,Diego Medina,mx MEX,"CC,DL",Santos,21,2001,23,11,964,10.7,4,0,4,4,0,0,1,0,1.9,1.9,1.2,3.1,39,39,85,0.37,0.00,0.37,0.37,0.37,0.18,0.11,0.29,0.18,0.29,Partidos
365,Stefan Medina,co COL,DF,Monterrey,30,1992,29,29,2514,27.9,3,1,4,3,0,0,9,0,0.9,0.9,1.5,2.4,24,81,45,0.11,0.04,0.14,0.11,0.14,0.03,0.05,0.09,0.03,0.09,Partidos
366,Ángel Mena,ec ECU,"CC,DL",León,34,1988,29,21,1688,18.8,3,4,7,1,2,2,2,0,5.8,4.2,3.2,7.4,74,98,155,0.16,0.21,0.37,0.05,0.27,0.31,0.17,0.48,0.22,0.39,Partidos
367,Édgar Méndez,es ESP,"DL,CC",Necaxa,32,1990,24,19,1616,18.0,6,0,6,5,1,2,9,1,5.0,3.4,0.9,4.3,38,36,133,0.33,0.00,0.33,0.28,0.28,0.28,0.05,0.33,0.19,0.24,Partidos
368,Jean Meneses,cl CHI,"CC,DL",Toluca,29,1993,33,32,2676,29.7,8,7,15,8,0,0,6,1,6.6,6.6,5.9,12.5,89,135,228,0.27,0.24,0.50,0.27,0.50,0.22,0.20,0.42,0.22,0.42,Partidos
369,Roberto Meraz,mx MEX,CC,Mazatlán,22,1999,31,27,2313,25.7,2,1,3,2,0,0,8,1,1.2,1.2,1.0,2.1,6,71,38,0.08,0.04,0.12,0.08,0.12,0.04,0.04,0.08,0.04,0.08,Partidos
370,Jorge Meré,es ESP,DF,Mazatlán,25,1997,6,5,406,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
371,Sabin Merino,es ESP,DL,Atlético,30,1992,21,2,314,3.5,2,0,2,1,1,1,1,0,2.3,1.6,0.1,1.7,9,10,33,0.57,0.00,0.57,0.29,0.29,0.67,0.03,0.70,0.44,0.47,Partidos
372,Maximiliano Meza,ar ARG,"CC,DL",Monterrey,29,1992,31,25,2113,23.5,3,5,8,3,0,0,9,0,3.5,3.5,4.5,7.9,77,130,112,0.13,0.21,0.34,0.13,0.34,0.15,0.19,0.34,0.15,0.34,Partidos
373,Hiram Mier,mx MEX,DF,Guadalajara,32,1989,8,4,341,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Partidos
374,Jesús Molina,mx MEX,CC,UNAM,34,1988,14,10,883,9.8,0,0,0,0,0,0,1,0,0.6,0.6,0.6,1.2,3,23,4,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Partidos
375,Tomás Molina,ar ARG,DL,FC Juárez,27,1995,13,9,846,9.4,4,0,4,4,0,0,2,0,2.6,2.6,0.6,3.2,21,14,62,0.43,0.00,0.43,0.43,0.43,0.28,0.06,0.34,0.28,0.34,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
376,Ricardo Monreal,mx MEX,"DL,CC",Necaxa,21,2001,25,8,828,9.2,2,3,5,2,0,0,1,0,1.8,1.8,1.2,3.0,15,32,67,0.22,0.33,0.54,0.22,0.54,0.19,0.13,0.33,0.19,0.33,Partidos
377,Pablo Monroy,mx MEX,DF,UNAM,20,2002,10,10,874,9.7,0,2,2,0,0,0,5,0,0.2,0.2,1.1,1.4,12,20,27,0.00,0.21,0.21,0.00,0.21,0.03,0.11,0.14,0.03,0.14,Partidos
378,Andres Montaño,mx MEX,CC,Mazatlán,20,2002,22,14,1160,12.9,2,0,2,2,0,0,1,0,1.4,1.4,1.3,2.7,17,78,28,0.16,0.00,0.16,0.16,0.16,0.11,0.10,0.21,0.11,0.21,Partidos
379,Joaquín Montecinos,cl CHI,DL,Tijuana,26,1995,27,19,1398,15.5,2,3,5,2,0,0,4,0,2.1,2.1,2.9,5.0,40,38,146,0.13,0.19,0.32,0.13,0.32,0.14,0.19,0.32,0.14,0.32,Partidos
380,César Montes,mx MEX,DF,Monterrey,25,1997,13,8,772,8.6,0,0,0,0,0,0,4,0,0.1,0.1,0.3,0.4,5,23,1,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Partidos
381,Luis Montes,mx MEX,CC,León,36,1986,14,12,871,9.7,0,0,0,0,0,0,4,0,0.7,0.7,1.7,2.4,18,64,29,0.00,0.00,0.00,0.00,0.00,0.07,0.18,0.25,0.07,0.25,Partidos
382,Adrián Mora,mx MEX,DF,FC Juárez,24,1997,5,2,266,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,10,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
383,Iván Morales Bravo,cl CHI,"DL,CC",Cruz Azul,23,1999,17,4,460,5.1,2,0,2,1,1,1,1,1,1.2,0.4,0.2,0.7,7,8,18,0.39,0.00,0.39,0.20,0.20,0.24,0.04,0.28,0.09,0.13,Partidos
384,Carlos Moreno,mx MEX,PO,Pachuca,24,1998,4,3,315,3.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
385,Héctor Moreno,mx MEX,DF,Monterrey,34,1988,29,22,1875,20.8,0,0,0,0,0,0,3,0,1.1,0.9,0.5,1.4,12,74,3,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.08,0.04,0.07,Partidos
386,Iker Moreno,mx MEX,DL,América,18,2003,1,0,51,0.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,4,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36,Partidos
387,Iván Moreno,mx MEX,"CC,DL",Puebla,24,1998,16,9,774,8.6,0,0,0,0,0,0,1,0,1.0,1.0,0.4,1.4,32,23,47,0.00,0.00,0.00,0.00,0.00,0.11,0.05,0.16,0.11,0.16,Partidos
388,Iván Moreno,mx MEX,DF,León,24,1998,16,15,1292,14.4,1,4,5,1,0,0,4,0,1.4,1.4,1.8,3.2,45,44,78,0.07,0.28,0.35,0.07,0.35,0.10,0.12,0.22,0.10,0.22,Partidos
389,Omar Moreno,mx MEX,"CC,DL",Mazatlán,17,2005,8,1,219,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.4,13,4,20,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.16,0.14,0.16,Partidos
390,Yairo Moreno,co COL,"CC,DF",León,27,1995,29,19,1714,19.0,3,6,9,3,0,0,2,0,2.3,2.3,2.9,5.2,90,104,111,0.16,0.32,0.47,0.16,0.47,0.12,0.15,0.27,0.12,0.27,Partidos
