RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
490,Brian Rubio,mx MEX,DL,Mazatlán,25,1996,15,7,685,7.6,0,0,0,0,0,0,3,0,1.8,1.8,0.2,2.0,12,13,47,0.00,0.00,0.00,0.00,0.00,0.24,0.02,0.26,0.24,0.26,Partidos
491,Brian Rubio,mx MEX,DL,León,25,1996,14,2,384,4.3,3,1,4,3,0,0,3,0,0.7,0.7,0.9,1.6,11,17,31,0.70,0.23,0.94,0.70,0.94,0.16,0.21,0.37,0.16,0.37,Partidos
492,Jesús Rubio,mx MEX,DF,Tijuana,,,3,1,167,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
493,Alan Ruiz,mx MEX,DF,Tijuana,21,2001,1,0,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,Partidos
494,Marcel Ruiz,mx MEX,CC,Toluca,21,2000,31,29,2452,27.2,3,2,5,3,0,0,6,1,3.9,3.9,2.0,5.8,69,180,74,0.11,0.07,0.18,0.11,0.18,0.14,0.07,0.21,0.14,0.21,Partidos
495,Jorge Ruvalcaba,mx MEX,"CC,DL",UNAM,21,2001,23,5,746,8.3,2,1,3,2,0,0,3,0,3.4,3.4,1.6,5.0,49,18,89,0.24,0.12,0.36,0.24,0.36,0.42,0.19,0.61,0.42,0.61,Partidos
496,Javier Salas,mx MEX,CC,FC Juárez,28,1993,25,25,2029,22.5,0,0,0,0,0,0,7,1,1.1,1.1,0.4,1.5,9,71,15,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Partidos
497,Carlos Salcedo,mx MEX,DF,FC Juárez,28,1993,30,30,2688,29.9,0,0,0,0,0,0,9,0,1.4,1.4,0.7,2.1,11,97,15,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Partidos
498,Eduardo Salvio,ar ARG,"CC,DL",UNAM,32,1990,27,26,2182,24.2,9,3,12,7,2,2,0,0,7.6,6.0,5.3,11.3,126,67,230,0.37,0.12,0.49,0.29,0.41,0.31,0.22,0.53,0.25,0.46,Partidos
499,Rubens Sambueza,ar ARG,"CC,DL",Atlético,38,1984,10,1,233,2.6,1,1,2,1,0,0,1,0,0.2,0.2,0.4,0.6,8,22,21,0.39,0.39,0.77,0.39,0.77,0.08,0.17,0.25,0.08,0.25,Partidos
500,Juan Sanabria,uy URU,"CC,DF",Atlético,22,2000,32,25,2304,25.6,1,2,3,1,0,0,6,1,1.8,1.8,5.3,7.1,35,121,78,0.04,0.08,0.12,0.04,0.12,0.07,0.21,0.28,0.07,0.28,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
501,Andrés Sánchez,mx MEX,PO,Atlético,24,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
502,Erick Sánchez,mx MEX,CC,Pachuca,22,1999,33,33,2859,31.8,3,1,4,3,0,0,5,1,3.6,3.6,4.0,7.6,84,238,54,0.09,0.03,0.13,0.09,0.13,0.11,0.13,0.24,0.11,0.24,Partidos
503,Jesús Sánchez García,mx MEX,DF,Guadalajara,32,1989,12,11,646,7.2,0,0,0,0,0,0,5,0,0.0,0.0,0.3,0.3,8,31,19,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidos
504,Jonathan Sánchez,mx MEX,DF,UNAM,28,1994,7,6,498,5.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,1,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
505,Luis Sánchez,mx MEX,DF,Monterrey,22,2000,2,2,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
506,Richard Sánchez,py PAR,CC,América,26,1996,31,25,2165,24.1,4,2,6,4,0,0,3,0,1.3,1.3,3.4,4.7,38,220,29,0.17,0.08,0.25,0.17,0.25,0.06,0.14,0.20,0.06,0.20,Partidos
507,Kevin Sandoval,mx MEX,DL,Atlético,19,2003,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
508,Raúl Sandoval,mx MEX,DF,Mazatlán,22,2000,18,11,858,9.5,0,0,0,0,0,0,1,1,0.1,0.1,0.4,0.5,23,23,54,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.01,0.06,Partidos
509,Miguel Sansores,mx MEX,"DL,CC",Mazatlán,31,1991,21,8,792,8.8,2,1,3,2,0,0,3,0,3.0,3.0,0.8,3.8,5,10,38,0.23,0.11,0.34,0.23,0.34,0.34,0.09,0.43,0.34,0.43,Partidos
510,Anderson Santamaría,pe PER,DF,Atlas,30,1992,25,23,1833,20.4,0,1,1,0,0,0,9,1,0.8,0.8,1.0,1.8,9,68,9,0.00,0.05,0.05,0.00,0.05,0.04,0.05,0.09,0.04,0.09,Partidos
511,José Santiago Hernández,mx MEX,PO,Atlas,25,1997,5,4,440,4.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
512,Samir Santos,br BRA,DF,UANL,27,1994,20,19,1654,18.4,2,1,3,2,0,0,5,0,2.2,2.2,0.2,2.3,19,63,6,0.11,0.05,0.16,0.11,0.16,0.12,0.01,0.13,0.12,0.13,Partidos
513,Sebastian Santos,mx MEX,CC,León,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
514,Camilo Sanvezzo,br BRA,"DL,CC",Toluca,34,1988,30,6,913,10.1,8,3,11,4,4,4,4,0,6.4,3.3,1.7,5.0,8,22,54,0.79,0.30,1.08,0.39,0.69,0.63,0.17,0.81,0.32,0.50,Partidos
515,Sebastián Saucedo,us USA,"CC,DL",Toluca,25,1997,13,1,300,3.3,1,1,2,1,0,0,2,2,1.0,1.0,0.5,1.5,13,4,31,0.30,0.30,0.60,0.30,0.60,0.30,0.14,0.44,0.30,0.44,Partidos
516,Francisco Sebastián Córdova,mx MEX,"CC,DL",UANL,25,1997,28,20,1821,20.2,5,5,10,5,0,1,2,1,4.8,4.0,4.8,8.8,52,76,154,0.25,0.25,0.49,0.25,0.49,0.23,0.24,0.47,0.20,0.43,Partidos
517,Ángel Sepúlveda,mx MEX,DL,Querétaro,31,1991,29,26,2055,22.8,6,2,8,5,1,2,1,0,6.9,5.3,1.9,7.2,21,45,121,0.26,0.09,0.35,0.22,0.31,0.30,0.08,0.39,0.23,0.31,Partidos
518,Gilberto Sepúlveda,mx MEX,DF,Guadalajara,23,1999,33,33,2919,32.4,1,0,1,1,0,0,8,1,1.5,1.5,0.5,2.0,30,90,2,0.03,0.00,0.03,0.03,0.03,0.05,0.01,0.06,0.05,0.06,Partidos
519,Leonardo Sequeira,ar ARG,"CC,DL",Querétaro,27,1995,13,11,998,11.1,0,0,0,0,0,0,3,0,2.1,2.1,1.6,3.7,23,13,79,0.00,0.00,0.00,0.00,0.00,0.19,0.14,0.33,0.19,0.33,Partidos
520,Jordan Sierra,ec ECU,CC,FC Juárez,25,1997,16,16,1234,13.7,1,0,1,1,0,0,1,0,0.7,0.7,0.5,1.2,11,65,68,0.07,0.00,0.07,0.07,0.07,0.05,0.04,0.09,0.05,0.09,Partidos
521,Jordan Sierra,ec ECU,"CC,DL",Toluca,25,1997,16,8,749,8.3,1,0,1,1,0,0,2,1,1.1,1.1,0.8,1.9,10,31,51,0.12,0.00,0.12,0.12,0.12,0.13,0.10,0.23,0.13,0.23,Partidos
522,Antony Silva,py PAR,PO,Puebla,38,1984,31,31,2790,31.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
523,Gastón Silva,uy URU,DF,Puebla,28,1994,32,32,2764,30.7,1,3,4,1,0,0,8,0,1.4,1.4,1.2,2.6,24,88,19,0.03,0.10,0.13,0.03,0.13,0.04,0.04,0.08,0.04,0.08,Partidos
524,Jordan Silva,mx MEX,"DF,CC",Cruz Azul,28,1994,4,1,103,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Partidos
525,Jordan Silva,mx MEX,DF,Querétaro,28,1994,13,12,1154,12.8,1,0,1,1,0,0,2,0,1.1,1.1,0.4,1.5,2,24,1,0.08,0.00,0.08,0.08,0.08,0.08,0.03,0.12,0.08,0.12,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
526,Maximiliano Silvera,uy URU,DL,FC Juárez,24,1997,9,7,488,5.4,0,0,0,0,0,1,1,1,1.7,0.7,0.8,1.4,12,6,30,0.00,0.00,0.00,0.00,0.00,0.31,0.14,0.45,0.12,0.26,Partidos
527,Maximiliano Silvera,uy URU,"DL,CC",Necaxa,24,1997,12,6,473,5.3,1,1,2,1,0,0,3,0,1.2,1.2,0.1,1.4,12,11,30,0.19,0.19,0.38,0.19,0.38,0.24,0.03,0.26,0.24,0.26,Partidos
528,Alan Soñora,us USA,"CC,DL",FC Juárez,23,1998,8,3,331,3.7,0,1,1,0,0,0,1,0,0.2,0.2,0.8,1.0,9,30,19,0.00,0.27,0.27,0.00,0.27,0.06,0.21,0.26,0.06,0.26,Partidos
529,Joel Soñora,us USA,"CC,DL",FC Juárez,25,1996,5,0,104,1.2,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,6,7,3,0.00,0.87,0.87,0.00,0.87,0.11,0.25,0.36,0.11,0.36,Partidos
530,Gonzalo Sosa,ar ARG,DL,Mazatlán,33,1989,14,10,810,9.0,1,1,2,0,1,2,3,0,2.2,0.6,0.8,1.5,1,17,40,0.11,0.11,0.22,0.00,0.11,0.25,0.09,0.34,0.07,0.16,Partidos
531,Sebastián Sosa,uy URU,PO,UNAM,35,1986,12,12,1080,12.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
532,Yeferson Soteldo,ve VEN,"DL,CC",UANL,25,1997,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,6,4,10,0.00,0.00,0.00,0.00,0.00,0.17,0.75,0.92,0.17,0.92,Partidos
533,Leonardo Suárez,ar ARG,CC,Santos,26,1996,16,6,745,8.3,6,2,8,6,0,0,0,0,2.1,2.1,1.6,3.7,22,52,49,0.72,0.24,0.97,0.72,0.97,0.25,0.19,0.44,0.25,0.44,Partidos
534,Leonardo Suárez,ar ARG,"CC,DL",América,26,1996,15,7,686,7.6,3,1,4,3,0,0,2,0,2.0,2.0,2.1,4.1,22,31,61,0.39,0.13,0.52,0.39,0.52,0.26,0.28,0.54,0.26,0.54,Partidos
535,Christian Tabó,uy URU,"DL,CC",Cruz Azul,28,1993,22,6,731,8.1,2,0,2,2,0,0,5,0,1.9,1.9,0.5,2.4,19,17,71,0.25,0.00,0.25,0.25,0.25,0.23,0.06,0.29,0.23,0.29,Partidos
536,Alfredo Talavera,mx MEX,PO,FC Juárez,39,1982,34,34,3060,34.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
537,Miguel Tapias,mx MEX,DF,Pachuca,25,1997,13,10,1006,11.2,0,0,0,0,0,0,3,0,0.7,0.7,0.1,0.8,9,30,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
538,Eduardo Tercero,mx MEX,"DF,DL",UANL,26,1996,6,1,160,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,5,0,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Partidos
539,William Tesillo,co COL,DF,León,32,1990,7,5,437,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,24,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
540,Florian Thauvin,fr FRA,"CC,DL",UANL,29,1993,7,3,311,3.5,3,2,5,3,0,0,0,1,1.9,1.9,1.5,3.3,20,20,46,0.87,0.58,1.45,0.87,1.45,0.55,0.42,0.97,0.55,0.97,Partidos
541,Iván Tona,mx MEX,"CC,DF",Monterrey,22,2000,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
542,Alan Torres,mx MEX,CC,Guadalajara,22,2000,16,5,539,6.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,7,43,10,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.10,0.08,0.10,Partidos
543,Félix Torres Caicedo,ec ECU,DF,Santos,25,1997,29,23,2141,23.8,2,0,2,2,0,0,6,0,1.7,1.7,1.4,3.1,9,75,2,0.08,0.00,0.08,0.08,0.08,0.07,0.06,0.13,0.07,0.13,Partidos
544,Jonathan Torres,ar ARG,DL,Querétaro,25,1996,14,6,586,6.5,1,1,2,1,0,0,1,0,0.9,0.9,0.4,1.4,7,4,27,0.15,0.15,0.31,0.15,0.31,0.15,0.07,0.21,0.15,0.21,Partidos
545,Jorge Torres Nilo,mx MEX,"DF,DL",Toluca,34,1988,6,2,186,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
546,Raúl Torres Rodríguez,mx MEX,DF,Querétaro,25,1996,6,1,171,1.9,1,0,1,1,0,0,3,0,0.1,0.1,0.3,0.4,1,14,6,0.53,0.00,0.53,0.53,0.53,0.04,0.15,0.19,0.04,0.19,Partidos
547,Christopher Trejo,mx MEX,"DL,CC",Atlas,22,1999,29,3,735,8.2,2,0,2,2,0,0,2,0,1.9,1.9,1.7,3.6,13,28,54,0.24,0.00,0.24,0.24,0.24,0.23,0.21,0.44,0.23,0.44,Partidos
548,Lucas Trezza,uy URU,CC,Atlas,25,1997,3,0,54,0.6,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,1,5,3,0.00,0.00,0.00,0.00,0.00,0.71,0.25,0.97,0.71,0.97,Partidos
549,Santiago Trigos,mx MEX,CC,UNAM,20,2002,12,1,309,3.4,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,1,8,5,0.00,0.29,0.29,0.00,0.29,0.00,0.12,0.12,0.00,0.12,Partidos
550,Héctor Uribe,mx MEX,DF,León,18,2004,5,1,150,1.7,2,0,2,2,0,0,0,0,0.1,0.1,0.1,0.1,4,8,11,1.20,0.00,1.20,1.20,1.20,0.03,0.05,0.08,0.03,0.08,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
551,Agustín Urzi,ar ARG,"CC,DL",FC Juárez,22,2000,11,5,476,5.3,0,1,1,0,0,0,1,0,0.4,0.4,0.6,1.1,16,19,47,0.00,0.19,0.19,0.00,0.19,0.08,0.12,0.20,0.08,0.20,Partidos
552,Óscar Ustari,ar ARG,PO,Pachuca,36,1986,31,31,2745,30.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
553,Diego Valdés,cl CHI,"CC,DL",América,28,1994,32,31,2495,27.7,10,9,19,10,0,0,5,0,9.1,9.1,7.6,16.7,67,254,157,0.36,0.32,0.69,0.36,0.69,0.33,0.27,0.60,0.33,0.60,Partidos
554,Bruno Valdez,py PAR,DF,América,29,1992,8,6,545,6.1,0,1,1,0,0,0,1,0,0.1,0.1,0.1,0.2,3,12,0,0.00,0.17,0.17,0.00,0.17,0.01,0.01,0.03,0.01,0.03,Partidos
555,Carlos Valenzuela,ar ARG,"CC,DL",Tijuana,25,1997,15,11,967,10.7,1,1,2,1,0,0,6,0,1.8,1.8,2.2,4.0,51,59,95,0.09,0.09,0.19,0.09,0.19,0.17,0.21,0.38,0.17,0.38,Partidos
556,José Van Rankin,mx MEX,DF,Necaxa,29,1993,17,14,1405,15.6,0,1,1,0,0,0,4,0,0.1,0.1,1.0,1.1,16,67,29,0.00,0.06,0.06,0.00,0.06,0.01,0.07,0.07,0.01,0.07,Partidos
557,Camilo Vargas,co COL,PO,Atlas,33,1989,30,30,2615,29.1,0,0,0,0,0,0,5,1,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
558,Ivo Vázquez,mx MEX,"DF,CC",Puebla,21,2000,19,3,487,5.4,0,2,2,0,0,0,4,0,0.1,0.1,0.4,0.5,23,15,22,0.00,0.37,0.37,0.00,0.37,0.02,0.08,0.09,0.02,0.09,Partidos
559,Alexis Vega,mx MEX,"DL,CC",Guadalajara,24,1997,25,23,2033,22.6,6,7,13,5,1,2,6,0,5.8,4.3,7.4,11.6,79,91,196,0.27,0.31,0.58,0.22,0.53,0.26,0.33,0.59,0.19,0.52,Partidos
560,Sebastián Vegas,cl CHI,DF,Monterrey,25,1996,29,17,1676,18.6,1,1,2,1,0,0,7,0,0.8,0.8,0.5,1.3,16,37,14,0.05,0.05,0.11,0.05,0.11,0.04,0.03,0.07,0.04,0.07,Partidos
561,Efraín Velarde,mx MEX,DF,UNAM,36,1986,7,3,338,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,7,11,7,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
562,Jesus Velasco,mx MEX,DF,Necaxa,16,2006,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
563,Emiliano Velázquez,uy URU,DF,FC Juárez,28,1994,9,9,753,8.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.2,2,16,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
564,Jesús Venegas,mx MEX,"CC,DL",Toluca,27,1995,13,4,465,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,1,11,3,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Partidos
565,Érik Vera,mx MEX,DF,Querétaro,30,1992,3,2,166,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,8,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidos
566,Álvaro Verda,mx MEX,"DL,DF",Querétaro,23,1999,4,0,74,0.8,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,0,8,0.00,0.00,0.00,0.00,0.00,0.76,0.10,0.86,0.76,0.86,Partidos
567,Duván Vergara,co COL,"CC,DL",Monterrey,25,1996,12,0,194,2.2,1,0,1,0,1,1,0,0,1.1,0.3,0.1,0.4,8,11,19,0.46,0.00,0.46,0.00,0.00,0.50,0.03,0.53,0.14,0.17,Partidos
568,Néstor Vidrio,mx MEX,DF,Mazatlán,33,1989,27,25,2282,25.4,0,0,0,0,0,0,6,0,0.5,0.5,0.2,0.7,14,65,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
569,Nicolás Vikonis,uy URU,PO,Mazatlán,38,1984,22,22,1935,21.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
570,Oscar Villa,mx MEX,DF,León,21,2001,13,5,415,4.6,0,0,0,0,0,0,3,1,0.1,0.1,0.1,0.2,6,15,16,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Partidos
571,Patrick Villa,mx MEX,DF,Puebla,18,2003,2,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
572,Dieter Villalpando,mx MEX,"CC,DL",Atlético,30,1991,15,13,996,11.1,1,0,1,1,0,0,1,1,1.1,1.1,1.6,2.7,34,64,49,0.09,0.00,0.09,0.09,0.09,0.10,0.14,0.25,0.10,0.25,Partidos
573,Dieter Villalpando,mx MEX,"CC,DL",Necaxa,30,1991,11,9,695,7.7,0,1,1,0,0,0,3,0,0.4,0.4,0.5,1.0,20,45,48,0.00,0.13,0.13,0.00,0.13,0.05,0.07,0.13,0.05,0.13,Partidos
574,Sergio Villarreal,mx MEX,DF,Monterrey,22,2000,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
575,Federico Viñas,uy URU,"DL,CC",América,24,1998,25,3,527,5.9,3,1,4,3,0,0,2,0,3.1,3.1,0.7,3.8,6,15,40,0.51,0.17,0.68,0.51,0.68,0.53,0.11,0.65,0.53,0.65,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
576,Isaías Violante,mx MEX,"CC,DL",Toluca,18,2003,11,1,152,1.7,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.5,7,9,11,0.00,0.00,0.00,0.00,0.00,0.19,0.09,0.28,0.19,0.28,Partidos
577,Vitinho,br BRA,"DL,CC",Atlético,21,2001,32,14,1534,17.0,2,0,2,2,0,0,5,0,3.3,3.3,1.3,4.7,83,55,158,0.12,0.00,0.12,0.12,0.12,0.20,0.08,0.27,0.20,0.27,Partidos
578,Tiago Volpi,br BRA,PO,Toluca,31,1990,32,32,2880,32.0,3,0,3,0,3,3,3,0,2.5,0.1,0.0,0.1,0,1,0,0.09,0.00,0.09,0.00,0.00,0.08,0.00,0.08,0.00,0.00,Partidos
579,Facundo Waller,uy URU,"DL,CC",Atlético,25,1997,17,17,1348,15.0,1,2,3,1,0,0,3,0,2.0,2.0,1.6,3.6,50,44,81,0.07,0.13,0.20,0.07,0.20,0.13,0.11,0.24,0.13,0.24,Partidos
580,Facundo Waller,uy URU,"CC,DL",Puebla,25,1997,12,10,830,9.2,1,1,2,1,0,0,2,0,1.7,1.7,0.7,2.4,22,32,45,0.11,0.11,0.22,0.11,0.22,0.19,0.07,0.26,0.19,0.26,Partidos
581,Édgar Yoel Bárcenas,pa PAN,"DL,CC",Mazatlán,28,1993,28,22,2040,22.7,0,4,4,0,0,0,4,0,3.0,3.0,3.6,6.6,80,80,133,0.00,0.18,0.18,0.00,0.18,0.13,0.16,0.29,0.13,0.29,Partidos
582,Paolo Yrizar,mx MEX,DL,Guadalajara,24,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
583,Ángel Zaldívar,mx MEX,DL,Atlético,28,1994,15,7,704,7.8,1,1,2,0,1,1,2,0,3.3,2.5,0.9,3.4,3,18,34,0.13,0.13,0.26,0.00,0.13,0.42,0.12,0.54,0.32,0.44,Partidos
584,Ángel Zaldívar,mx MEX,DL,Guadalajara,28,1994,14,11,761,8.5,4,0,4,3,1,2,1,0,3.5,1.7,0.8,2.5,6,13,30,0.47,0.00,0.47,0.35,0.35,0.41,0.09,0.50,0.21,0.29,Partidos
585,Edgar Zaldívar,mx MEX,CC,Atlas,25,1996,28,19,1647,18.3,0,0,0,0,0,0,7,0,0.5,0.5,0.5,1.0,13,55,24,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Partidos
586,Ángel Zapata,mx MEX,CC,Monterrey,21,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
587,Alejandro Zendejas,us USA,"DL,CC",América,24,1998,28,25,1861,20.7,8,4,12,8,0,0,6,0,4.5,4.5,4.1,8.6,61,103,202,0.39,0.19,0.58,0.39,0.58,0.22,0.20,0.42,0.22,0.42,Partidos
588,José Zúñiga,co COL,DL,Querétaro,28,1994,17,10,984,10.9,2,1,3,2,0,0,1,0,4.0,4.0,0.4,4.4,16,12,60,0.18,0.09,0.27,0.18,0.27,0.37,0.04,0.40,0.37,0.40,Partidos
